Tim,,,Coords (top),,Coords (bottom),,,
6 :: Magnifiers Australia,N16,w,5553,3653,5568,3715,62,
6 :: Magnifiers Australia,N16,F,7005,4023,7005,4112,89,
6 :: Magnifiers Australia,N16,T,7969,3489,7988,3578,89,
6 :: Magnifiers Australia,N12,w,7310,5076,7323,5122,46,
6 :: Magnifiers Australia,N12,w,7383,4675,7395,4721,46,
6 :: Magnifiers Australia,N12,w,5246,5077,5231,5123,46,
6 :: Magnifiers Australia,N12,I,6245,4756,6245,4823,67,
6 :: Magnifiers Australia,N12,W,6635,4955,6613,5023,68,
6 :: Magnifiers Australia,N8,w,5204,6115,5211,6145,30,
6 :: Magnifiers Australia,N8,w,5419,5916,5424,5947,31,
6 :: Magnifiers Australia,N8,v,5892,5851,5881,5881,30,
6 :: Magnifiers Australia,N8,A,6054,5903,6038,5948,45,
6 :: Magnifiers Australia,N8,T,6224,5835,6211,5881,46,
6 :: Magnifiers Australia,N8,T,6224,6036,6222,6081,45,
6 :: Magnifiers Australia,N5,w,6596,6372,6601,6394,22,
6 :: Magnifiers Australia,N5,w,6281,6523,6287,6545,22,
6 :: Magnifiers Australia,N5,w,5762,6424,5769,6447,23,
6 :: Magnifiers Australia,N5,L,6462,6361,6475,6395,34,
6 :: Magnifiers Australia,N5,T,6580,6411,6582,6445,34,
7.2 :: Good-Lite,0.7,w,5591,3602,5609,3674,72,logMAR at 40cm
7.2 :: Good-Lite,0.7,w,6184,3747,6212,3820,73,
7.2 :: Good-Lite,0.7,z,7018,3605,7035,3675,70,
7.2 :: Good-Lite,0.7,I,5489,3567,5488,3672,105,
7.2 :: Good-Lite,0.7,I,5450,3711,5486,3816,105,
7.2 :: Good-Lite,0.7,I,6949,3716,6955,3820,104,
7.2 :: Good-Lite,0.6,w,6555,4036,6538,4094,58,
7.2 :: Good-Lite,0.6,w,8038,4041,8023,4098,57,
7.2 :: Good-Lite,0.6,w,8950,4043,8932,4100,57,
7.2 :: Good-Lite,0.6,I,8826,4017,8809,4099,82,
7.2 :: Good-Lite,0.6,I,5452,4007,5469,4089,82,
7.2 :: Good-Lite,0.5,w,6670,4421,6708,4467,46,
7.2 :: Good-Lite,0.5,w,8727,4428,8714,4474,46,
7.2 :: Good-Lite,0.5,w,9115,4429,9128,4475,46,
7.2 :: Good-Lite,0.5,H,5450,4395,5456,4461,66,
7.2 :: Good-Lite,0.5,I,6611,4400,6614,4466,66,
7.2 :: Good-Lite,0.5,I,7949,4405,7961,4471,66,
7.2 :: Good-Lite,0.4,w,5538,4740,5526,4777,37,
7.2 :: Good-Lite,0.4,w,8522,4754,8530,4790,36,
7.2 :: Good-Lite,0.4,M,7849,4734,7852,4787,53,
7.2 :: Good-Lite,0.4,I,7085,4731,7091,4784,53,
7.2 :: Good-Lite,0.4,F,6659,4729,6655,4782,53,
7.2 :: Good-Lite,0.3,w,5581,4986,5575,5016,30,
7.2 :: Good-Lite,0.3,w,6515,4991,6506,5020,29,
7.2 :: Good-Lite,0.3,w,7352,4995,7344,5024,29,
7.2 :: Good-Lite,0.3,I,7909,4985,7904,5027,42,
7.2 :: Good-Lite,0.3,W,6177,4977,6185,5020,43,
7.2 :: Good-Lite,0.3,I,6934,4980,6933,5022,42,
7.2 :: Good-Lite,0.2,w,5493,5188,5498,5212,24,
7.2 :: Good-Lite,0.2,v,5536,5189,5544,5213,24,
7.2 :: Good-Lite,0.2,w,5898,5191,5905,5215,24,
7.2 :: Good-Lite,0.2,A,6842,5186,6851,5220,34,
7.2 :: Good-Lite,0.2,I,7253,5187,7252,5221,34,
7.2 :: Good-Lite,0.2,I,5450,5177,5453,5212,35,
7.2 :: Good-Lite,0.1,w,5462,5382,5468,5400,18,
7.2 :: Good-Lite,0.1,w,5662,5384,5667,5403,19,
7.2 :: Good-Lite,0.1,w,6501,5388,6508,5407,19,
7.2 :: Good-Lite,0,w,5590,5577,5594,5592,15,
7.2 :: Good-Lite,0,w,5951,5579,5954,5594,15,
7.2 :: Good-Lite,0,w,6201,5581,6205,5596,15,
7.2 :: Good-Lite,0,I,5441,5567,5441,5591,24,EXCLUDE: Poor quality letter but the only usable capital letter.
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
