Myra,,,,Coords (top),,Coords (bottom),,,,
Chart,Unit,Size,Letter,X,Y,X,Y,Height (px),Comments,Chart type
15 :: Howell,N size,7,H,2766,911,2765,950,39,,Scanned
15 :: Howell,N size,7,H,3533,972,3534,1011,39,,Scanned
15 :: Howell,N size,7,T,4075,921,4078,960,39,Taken the majority of the highest points (because there is one extra pixel at the top and bottom),Scanned
15 :: Howell,N size,7,w,3713,876,3718,902,26,,Scanned
15 :: Howell,N size,7,v,2366,1028,2371,1054,26,,Scanned
15 :: Howell,N size,7,w,4052,1097,4056,1122,25,,Scanned
15.2 :: Howell,N size,4,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,4,v,1076,266,1082,289,23,,Scanned
15.2 :: Howell,N size,4,z,1148,266,1147,290,24,,Scanned
15.2 :: Howell,N size,6,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,9,z,1064,369,1076,410,41,,Scanned
15.2 :: Howell,N size,12,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,18,,,,,,,No appropriate letters,Scanned
15.2 :: Howell,N size,24,,,,,,,No appropriate letters,Scanned
13 :: HKSPO,M size,0.4,w,4847,1379,4851,1392,13,,Scanned
13 :: HKSPO,M size,0.4,v,4813,1443,4808,1456,13,,Scanned
13 :: HKSPO,M size,0.4,w,4852,1474,4850,1487,13,,Scanned
13 :: HKSPO,M size,0.4,H,4806,1373,4807,1393,20,,Scanned
13 :: HKSPO,M size,0.4,T,5003,1500,5003,1520,20,,Scanned
13 :: HKSPO,M size,0.4,H,4894,1405,4891,1425,20,,Scanned
13 :: HKSPO,M size,0.5,w,4805,1609,4801,1625,16,,Scanned
13 :: HKSPO,M size,0.5,w,5092,1681,5095,1697,16,,Scanned
13 :: HKSPO,M size,0.5,v,4898,1717,4902,1733,16,,Scanned
13 :: HKSPO,M size,0.5,H,5027,1710,5027,1733,23,,Scanned
13 :: HKSPO,M size,0.63,H,5440,1859,5457,1888,29,,Scanned
13 :: HKSPO,M size,0.63,A,5733,2005,5725,2034,29,,Scanned
13 :: HKSPO,M size,0.63,w,5549,1917,5555,1937,20,,Scanned
13 :: HKSPO,M size,0.63,v,4743,1965,4749,1985,20,,Scanned
13 :: HKSPO,M size,0.63,w,4947,2061,4951,2081,20,,Scanned
13 :: HKSPO,M size,0.8,H,4647,2319,4647,2355,36,,Scanned
13 :: HKSPO,M size,0.8,K,4778,2319,4777,2355,36,,Scanned
13 :: HKSPO,M size,0.8,I,4825,2453,4825,2488,35,,Scanned
13 :: HKSPO,M size,0.8,v,5324,2397,5315,2422,25,,Scanned
13 :: HKSPO,M size,0.8,w,4867,2464,4873,2488,24,,Scanned
13 :: HKSPO,M size,0.8,v,5245,2531,5251,2556,25,,Scanned
13 :: HKSPO,M size,1,H,5646,2765,5646,2810,45,,Scanned
13 :: HKSPO,M size,1,A,4826,2930,4833,2976,46,,Scanned
13 :: HKSPO,M size,1,I,5715,3015,5715,3060,45,,Scanned
13 :: HKSPO,M size,1,v,5921,2863,5929,2894,31,,Scanned
13 :: HKSPO,M size,1,v,4558,2946,4567,2977,31,,Scanned
13 :: HKSPO,M size,1,v,4554,3029,4563,3060,31,,Scanned
13 :: HKSPO,M size,1.25,A,4425,3237,4440,3293,56,,Scanned
13 :: HKSPO,M size,1.25,H,5858,3338,5860,3394,56,,Scanned
13 :: HKSPO,M size,1.25,L,4701,3438,4710,3493,55,,Scanned
13 :: HKSPO,M size,1.25,v,5113,3355,5123,3394,39,,Scanned
13 :: HKSPO,M size,1.25,v,5054,3455,5065,3494,39,,Scanned
13 :: HKSPO,M size,1.25,w,5575,3456,5584,3494,38,,Scanned
16 :: Takagi,Decimal @ 40cm,1,w,3731,2033,3736,2048,15,Unclear ,Scanned
16 :: Takagi,Decimal @ 40cm,1,w,3629,2073,3633,2088,15,,Scanned
16 :: Takagi,Decimal @ 40cm,1,w,3782,2074,3786,2088,14,,Scanned
16 :: Takagi,Decimal @ 40cm,0.7,,,,,,,No appropriate letters,Scanned
16 :: Takagi,Decimal @ 40cm,0.6,H,3482,1602,3483,1638,36,,Scanned
16 :: Takagi,Decimal @ 40cm,0.5,T,3381,1353,3390,1395,42,,Scanned
16 :: Takagi,Decimal @ 40cm,0.5,H,4033,1354,4035,1396,42,,Scanned
16 :: Takagi,Decimal @ 40cm,0.5,w,3572,1366,3582,1394,28,,Scanned
16 :: Takagi,Decimal @ 40cm,0.5,w,3686,1437,3678,1465,28,,Scanned
16 :: Takagi,Decimal @ 40cm,0.5,w,3444,1507,3452,1536,29,,Scanned
16 :: Takagi,Decimal @ 40cm,0.4,E,3364,1052,3377,1103,51,,Scanned
16 :: Takagi,Decimal @ 40cm,0.4,v,3394,1067,3408,1103,36,,Scanned
16 :: Takagi,Decimal @ 40cm,0.4,w,3991,1157,4002,1194,37,,Scanned
16 :: Takagi,Decimal @ 40cm,0.4,v,3644,1244,3660,1280,36,,Scanned
17 :: Shamir,M size,0.5,v,3776,4484,3781,4501,17,,Scanned
17 :: Shamir,M size,0.5,w,3677,4517,3681,4535,18,,Scanned
17 :: Shamir,M size,0.5,v,3466,4552,3473,4570,18,,Scanned
17 :: Shamir,M size,0.63,E,3164,4036,3165,4066,30,,Scanned
17 :: Shamir,M size,0.63,T,3378,4036,3385,4066,30,,Scanned
17 :: Shamir,M size,0.63,A,3644,4036,3656,4065,29,,Scanned
17 :: Shamir,M size,0.63,v,3867,4041,3860,4064,23,"advanced is missing an ""a""",Scanned
17 :: Shamir,M size,0.63,v,3819,4091,3811,4115,24,,Scanned
17 :: Shamir,M size,0.63,z,3904,4141,3910,4164,23,,Scanned
17 :: Shamir,M size,0.8,W,2992,3585,3027,3621,36,,Scanned
17 :: Shamir,M size,0.8,I,4364,3583,4366,3619,36,,Scanned
17 :: Shamir,M size,0.8,V,2992,3719,3004,3754,35,,Scanned
17 :: Shamir,M size,0.8,v,3076,3661,3084,3688,27,,Scanned
17 :: Shamir,M size,0.8,x,3966,3725,3965,3753,28,,Scanned
17 :: Shamir,M size,0.8,v,4003,3658,4012,3686,28,,Scanned
17 :: Shamir,M size,1,A,3010,3166,2994,3212,46,,Scanned
17 :: Shamir,M size,1,I,3352,3166,3350,3213,47,,Scanned
17 :: Shamir,M size,1,T,3421,3167,3414,3213,46,,Scanned
17 :: Shamir,M size,1,w,2995,3251,3005,3287,36,,Scanned
17 :: Shamir,M size,1.25,A,3316,2504,3293,2560,56,,Scanned
17 :: Shamir,M size,1.25,v,3355,2616,3372,2660,44,,Scanned
17 :: Shamir,M size,1.25,v,3829,2614,3845,2658,44,,Scanned
17 :: Shamir,M size,1.25,w,4274,2713,4287,2757,44,,Scanned
17 :: Shamir,M size,2,A,3512,1797,3477,1888,91,,Scanned
17 :: Shamir,M size,2,W,3802,1795,3778,1886,91,,Scanned
17 :: Shamir,M size,2,T,4093,1794,4074,1885,91,,Scanned
17 :: Shamir,M size,2,w,4532,1954,4559,2026,72,,Scanned
17 :: Shamir,M size,2,w,3184,2099,3202,2171,72,,Scanned
17 :: Shamir,M size,4,I,3026,1236,3023,1418,182,,Scanned
17 :: Shamir,M size,4,L,4111,1235,4197,1416,181,,Scanned
12 :: PolyU,M size,1.25,h,3482,3345,3480,3401,56,,Scanned
12 :: PolyU,M size,1.25,w,3590,3364,3598,3403,39,,Scanned
12 :: PolyU,M size,1.25,T,2961,3439,2961,3493,54,,Scanned
12 :: PolyU,M size,1.25,v,3375,3468,3366,3498,30,,Scanned
12 :: PolyU,M size,1.25,l,3704,3537,3702,3594,57,,Scanned
12 :: PolyU,M size,1.25,v,3617,3555,3626,3594,39,,Scanned
12 :: PolyU,M size,1,H,4130,2864,4132,2914,50,,Scanned
12 :: PolyU,M size,1,w,4239,2880,4245,2914,34,,Scanned
12 :: PolyU,M size,1,h,3961,2944,3960,2995,51,,Scanned
12 :: PolyU,M size,1,w,4254,2962,4244,2996,34,,Scanned
12 :: PolyU,M size,1,k,3434,3106,3434,3156,50,,Scanned
12 :: PolyU,M size,1,w,3915,3043,3922,3077,34,,Scanned
12 :: PolyU,M size,0.8,l,3835,2409,3834,2449,40,,Scanned
12 :: PolyU,M size,0.8,w,3032,2418,3052,2445,27,,Scanned
12 :: PolyU,M size,0.8,h,3178,2472,3178,2511,39,,Scanned
12 :: PolyU,M size,0.8,v,3248,2485,3259,2513,28,,Scanned
12 :: PolyU,M size,0.8,A,4096,2606,4085,2646,40,,Scanned
12 :: PolyU,M size,0.8,w,3148,2549,3154,2577,28,,Scanned
12 :: PolyU,M size,0.63,H,3934,2061,3936,2090,29,,Scanned
12 :: PolyU,M size,0.63,w,4054,2119,4059,2138,19,,Scanned
12 :: PolyU,M size,0.63,h,3964,2158,3964,2187,29,,Scanned
12 :: PolyU,M size,0.63,v,3239,2163,3244,2183,20,,Scanned
12 :: PolyU,M size,0.63,A,4227,2207,4217,2236,29,,Scanned
12 :: PolyU,M size,0.63,w,3440,2261,3456,2282,21,,Scanned
12 :: PolyU,M size,0.5,l,3683,1795,3684,1817,22,,Scanned
12 :: PolyU,M size,0.5,w,3835,1803,3839,1818,15,,Scanned
12 :: PolyU,M size,0.5,h,3881,1831,3880,1854,23,,Scanned
12 :: PolyU,M size,0.5,w,3871,1875,3866,1890,15,,Scanned
12 :: PolyU,M size,0.5,H,3515,1902,3515,1925,23,,Scanned
12 :: PolyU,M size,0.5,v,3387,1908,3391,1923,15,,Scanned
12 :: PolyU,M size,0.4,H,3299,1555,3297,1574,19,,Scanned
12 :: PolyU,M size,0.4,w,3361,1593,3357,1606,13,,Scanned
12 :: PolyU,M size,0.4,H,3384,1587,3384,1606,19,,Scanned
12 :: PolyU,M size,0.4,v,3296,1625,3298,1637,12,,Scanned
12 :: PolyU,M size,0.4,T,3492,1683,3492,1702,19,,Scanned
12 :: PolyU,M size,0.4,v,3524,1657,3521,1670,13,,Scanned
14 :: Evans Instruments,N size,12,v,4069,3698,4083,3749,51,,Scanned
14 :: Evans Instruments,N size,12,v,5077,3686,5093,3738,52,,Scanned
14 :: Evans Instruments,N size,12,w,5557,3682,5569,3733,51,,Scanned
14 :: Evans Instruments,N size,10,N,4884,3099,4885,3156,57,,Scanned
14 :: Evans Instruments,N size,10,z,5349,3111,5348,3152,41,,Scanned
14 :: Evans Instruments,N size,10,x,5620,3108,5618,3149,41,,Scanned
14 :: Evans Instruments,N size,10,v,5597,3356,5608,3397,41,,Scanned
14 :: Evans Instruments,N size,8,T,3202,3070,3202,3123,53,,Scanned
14 :: Evans Instruments,N size,8,w,3414,3083,3408,3120,37,,Scanned
17 :: Shamir,M size,0.5,v,3360,4485,3355,4503,18,,Threshold
17 :: Shamir,M size,0.5,w,3677,4517,3682,4535,18,,Threshold
17 :: Shamir,M size,0.5,z,4507,4549,4508,4567,18,,Threshold
17 :: Shamir,M size,0.63,E,3157,4036,3159,4066,30,,Threshold
17 :: Shamir,M size,0.63,T,3378,4036,3384,4066,30,,Threshold
17 :: Shamir,M size,0.63,A,3644,4036,3632,4066,30,,Threshold
17 :: Shamir,M size,0.63,v,3867,4041,3860,4064,23,,Threshold
17 :: Shamir,M size,0.63,v,3803,4091,3811,4115,24,,Threshold
17 :: Shamir,M size,0.63,z,3904,4141,3905,4163,22,,Threshold
17 :: Shamir,M size,0.8,W,2992,3585,3026,3621,36,,Threshold
17 :: Shamir,M size,0.8,A,4104,3583,4087,3619,36,,Threshold
17 :: Shamir,M size,0.8,V,2992,3719,3003,3754,35,,Threshold
17 :: Shamir,M size,0.8,v,3076,3661,3084,3688,27,,Threshold
17 :: Shamir,M size,0.8,v,4003,3658,4012,3686,28,,Threshold
17 :: Shamir,M size,0.8,x,3966,3725,3965,3753,28,,Threshold
17 :: Shamir,M size,1,A,3009,3166,2994,3212,46,,Threshold
17 :: Shamir,M size,1,I,3351,3166,3349,3213,47,,Threshold
17 :: Shamir,M size,1,T,3400,3167,3414,3213,46,,Threshold
17 :: Shamir,M size,1,w,2995,3251,3005,3287,36,,Threshold
17 :: Shamir,M size,1.25,A,3317,2504,3293,2560,56,,Threshold
17 :: Shamir,M size,1.25,v,3355,2616,3371,2660,44,,Threshold
17 :: Shamir,M size,1.25,v,3825,2614,3841,2658,44,,Threshold
17 :: Shamir,M size,1.25,w,4274,2713,4287,2757,44,,Threshold
17 :: Shamir,M size,2,A,3512,1796,3472,1888,92,,Threshold
17 :: Shamir,M size,2,W,3803,1795,3776,1886,91,,Threshold
17 :: Shamir,M size,2,T,4062,1794,4089,1885,91,,Threshold
17 :: Shamir,M size,2,w,4532,1954,4559,2026,72,,Threshold
17 :: Shamir,M size,2,w,3266,2099,3248,2171,72,,Threshold
17 :: Shamir,M size,4,I,3025,1236,3022,1417,181,,Threshold
17 :: Shamir,M size,4,L,4111,1235,4108,1417,182,,Threshold
16 :: Takagi,Decimal @ 40cm,1,w,3730,2033,3736,2048,15,,Threshold
16 :: Takagi,Decimal @ 40cm,1,w,3702,2074,3708,2088,14,,Threshold
16 :: Takagi,Decimal @ 40cm,1,w,3781,2074,3787,2088,14,,Threshold
16 :: Takagi,Decimal @ 40cm,0.7,,,,,,,No appropriate letters,Threshold
16 :: Takagi,Decimal @ 40cm,0.6,H,3482,1602,3483,1639,37,,Threshold
16 :: Takagi,Decimal @ 40cm,0.5,T,3382,1353,3392,1395,42,,Threshold
16 :: Takagi,Decimal @ 40cm,0.5,H,4033,1354,4036,1396,42,,Threshold
16 :: Takagi,Decimal @ 40cm,0.5,w,3550,1365,3561,1394,29,,Threshold
16 :: Takagi,Decimal @ 40cm,0.5,w,3665,1437,3675,1465,28,,Threshold
16 :: Takagi,Decimal @ 40cm,0.5,w,3441,1507,3435,1536,29,,Threshold
16 :: Takagi,Decimal @ 40cm,0.4,E,3378,1051,3367,1103,52,,Threshold
16 :: Takagi,Decimal @ 40cm,0.4,v,3392,1067,3407,1103,36,,Threshold
16 :: Takagi,Decimal @ 40cm,0.4,w,3962,1157,3974,1194,37,,Threshold
16 :: Takagi,Decimal @ 40cm,0.4,v,3644,1244,3662,1280,36,,Threshold
15 :: Howell,N size,7,H,2084,850,2085,889,39,,Threshold
15 :: Howell,N size,7,T,4088,920,4082,961,41,,Threshold
15 :: Howell,N size,7,H,3551,971,3533,1011,40,,Threshold
15 :: Howell,N size,7,w,2376,864,2396,891,27,,Threshold
15 :: Howell,N size,7,v,3059,925,3063,952,27,,Threshold
15 :: Howell,N size,7,w,2889,1087,2894,1113,26,,Threshold
14 :: Evans Instruments,N size,5,z,3569,2645,3569,2670,25,,Threshold
14 :: Evans Instruments,N size,5,v,3780,2691,3775,2717,26,,Threshold
14 :: Evans Instruments,N size,5,x,4103,2737,4120,2762,25,,Threshold
14 :: Evans Instruments,N size,6,T,4885,2623,4893,2662,39,,Threshold
14 :: Evans Instruments,N size,6,I,6008,2610,6011,2649,39,,Threshold
14 :: Evans Instruments,N size,6,z,5430,2630,5428,2657,27,,Threshold
14 :: Evans Instruments,N size,6,v,5543,2687,5549,2714,27,,Threshold
14 :: Evans Instruments,N size,6,v,5514,2861,5523,2888,27,,Threshold
14 :: Evans Instruments,N size,8,T,3215,3071,3199,3122,51,,Threshold
14 :: Evans Instruments,N size,8,w,3399,3084,3408,3119,35,,Threshold
14 :: Evans Instruments,N size,8,z,4209,3148,4212,3183,35,,Threshold
14 :: Evans Instruments,N size,8,v,3615,3378,32627,3413,35,,Threshold
14 :: Evans Instruments,N size,10,N,4916,3098,4925,3156,58,,Threshold
14 :: Evans Instruments,N size,10,z,5348,3112,5354,3150,38,,Threshold
14 :: Evans Instruments,N size,10,z,5942,3270,5943,3308,38,,Threshold
14 :: Evans Instruments,N size,10,v,5618,3356,5608,3396,40,,Threshold
14 :: Evans Instruments,N size,12,v,4057,3698,4082,3749,51,,Threshold
14 :: Evans Instruments,N size,12,v,5105,3686,5092,3737,51,,Threshold
14 :: Evans Instruments,N size,12,w,5618,3680,5597,3732,52,,Threshold
13 :: HKSPO,M size,0.4,H,4804,1373,4806,1393,20,,Threshold
13 :: HKSPO,M size,0.4,H,4892,1405,4891,1425,20,,Threshold
13 :: HKSPO,M size,0.4,T,5001,1500,5004,1520,20,,Threshold
13 :: HKSPO,M size,0.4,w,4857,1411,4860,1424,13,,Threshold
13 :: HKSPO,M size,0.4,v,5028,1474,5032,1487,13,,Threshold
13 :: HKSPO,M size,0.4,v,4805,1443,4809,1456,13,,Threshold
13 :: HKSPO,M size,0.5,H,5027,1710,5028,1733,23,,Threshold
13 :: HKSPO,M size,0.5,w,5093,1681,5095,1697,16,,Threshold
13 :: HKSPO,M size,0.5,w,4797,1609,4801,1625,16,,Threshold
13 :: HKSPO,M size,0.5,v,4895,1716,4902,1733,17,,Threshold
13 :: HKSPO,M size,0.63,H,5459,1859,5442,1889,30,,Threshold
13 :: HKSPO,M size,0.63,A,5733,2005,5741,2034,29,,Threshold
13 :: HKSPO,M size,0.63,w,5559,1917,5555,1937,20,,Threshold
13 :: HKSPO,M size,0.63,v,4743,1965,4749,1985,20,,Threshold
13 :: HKSPO,M size,0.63,w,4946,2061,4961,2081,20,,Threshold
13 :: HKSPO,M size,0.8,H,4647,2319,4648,2355,36,,Threshold
13 :: HKSPO,M size,0.8,K,4701,2452,4704,2488,36,,Threshold
13 :: HKSPO,M size,0.8,T,4887,2519,4883,2555,36,,Threshold
13 :: HKSPO,M size,0.8,v,5306,2397,5313,2421,24,,Threshold
13 :: HKSPO,M size,0.8,w,4878,2464,4872,2487,23,,Threshold
13 :: HKSPO,M size,0.8,v,4692,2531,4697,2556,25,,Threshold
13 :: HKSPO,M size,1,T,5519,2764,5532,2809,45,,Threshold
13 :: HKSPO,M size,1,A,4826,2930,4837,2976,46,,Threshold
13 :: HKSPO,M size,1,I,5717,3015,5720,3060,45,,Threshold
13 :: HKSPO,M size,1,v,4554,3029,4562,3060,31,,Threshold
13 :: HKSPO,M size,1,v,4561,2946,4567,2977,31,,Threshold
13 :: HKSPO,M size,1,v,4903,2862,4913,2893,31,,Threshold
13 :: HKSPO,M size,1.25,A,4425,3237,4411,3294,57,,Threshold
13 :: HKSPO,M size,1.25,H,5867,3338,5864,3394,56,,Threshold
13 :: HKSPO,M size,1.25,L,4708,3438,4724,3494,56,,Threshold
13 :: HKSPO,M size,1.25,v,5056,3455,5065,3494,39,,Threshold
13 :: HKSPO,M size,1.25,v,5116,3355,5123,3394,39,,Threshold
13 :: HKSPO,M size,1.25,w,5496,3355,5535,3395,40,,Threshold
12 :: PolyU,M size,0.4,H,3296,1555,3296,1574,19,,Threshold
12 :: PolyU,M size,0.4,H,3382,1587,3382,1606,19,,Threshold
12 :: PolyU,M size,0.4,T,3492,1683,3493,1702,19,,Threshold
12 :: PolyU,M size,0.4,w,3462,1626,3465,1638,12,,Threshold
12 :: PolyU,M size,0.4,v,3515,1658,3521,1670,12,,Threshold
12 :: PolyU,M size,0.4,w,3405,1562,3408,1574,12,,Threshold
12 :: PolyU,M size,0.5,H,3515,1902,3514,1925,23,,Threshold
12 :: PolyU,M size,0.5,w,3286,1800,3289,1814,14,,Threshold
12 :: PolyU,M size,0.5,v,3387,1908,3391,1922,14,,Threshold
12 :: PolyU,M size,0.5,w,3796,1839,3802,1853,14,,Threshold
12 :: PolyU,M size,0.63,H,3933,2061,3934,2090,29,,Threshold
12 :: PolyU,M size,0.63,A,4226,2208,4235,2236,28,,Threshold
12 :: PolyU,M size,0.63,w,4041,2119,4048,2138,19,,Threshold
12 :: PolyU,M size,0.63,v,3238,2163,3243,2183,20,,Threshold
12 :: PolyU,M size,0.63,w,3442,2262,3445,2281,19,,Threshold
12 :: PolyU,M size,0.8,A,4096,2607,4084,2646,39,,Threshold
12 :: PolyU,M size,0.8,w,3032,2419,3052,2445,26,,Threshold
12 :: PolyU,M size,0.8,v,3248,2485,3259,2513,28,,Threshold
12 :: PolyU,M size,0.8,w,3149,2550,3153,2577,27,,Threshold
12 :: PolyU,M size,1,H,4126,2865,4131,2914,49,,Threshold
12 :: PolyU,M size,1,w,4237,2881,4263,2914,33,,Threshold
12 :: PolyU,M size,1,w,4230,2962,4242,2996,34,,Threshold
12 :: PolyU,M size,1,w,3913,3043,3922,3077,34,,Threshold
